primaryOfficeId,givenNames,familyName,role,mobile,username,email,password
HEALTH_FACILITY_ilAQrY4NHfY,Migueuig,Gariiaia,HOSPITAL_CLERK,0979049944,m.gariiaia,m.gariiaia@gmail.com,test
HEALTH_FACILITY_J9LOgnZoDdr,Rooacf,Flnrtzbz,LOCAL_REGISTRAR,0788566703,r.flnrtzbz,r.flnrtzbz@gmail.com,test
HEALTH_FACILITY_eewLTk7RycQ,Anlhm,Lorresuf,PROVINCIAL_REGISTRAR,0753873986,a.lorresuf,a.lorresuf@gmail.com,test
CRVS_OFFICE_4Pm9Sno7K1q,Yqvepk,Santksjy,COMMUNITY_LEADER,0965028185,y.santksjy,y.santksjy@gmail.com,test
HEALTH_FACILITY_pafbIKQoKXx,Litox,Casxilloup,REGISTRATION_AGENT,0740950789,l.casxilloup,l.casxilloup@gmail.com,test
HEALTH_FACILITY_OQ2oa54b7fm,Lszrm,Flhreshv,REGISTRATION_AGENT,0792960216,l.flhreshv,l.flhreshv@gmail.com,test
CRVS_OFFICE_6ekGb7up6U4,Znadl,Tolresmy,LOCAL_REGISTRAR,0797885936,z.tolresmy,z.tolresmy@gmail.com,test
CRVS_OFFICE_ht4meWHCvif,Moriacs,Rucospz,EMBASSY_OFFICIAL,0923853166,m.rucospz,m.rucospz@gmail.com,test
CRVS_OFFICE_xoQlK2TJ6aq,Wearntb,Jendqzaef,PROVINCIAL_REGISTRAR,0784687518,w.jendqzaef,w.jendqzaef@gmail.com,test
HEALTH_FACILITY_DbNSQtjaiyW,Cedrlii,Guthiaik,NATIONAL_SYSTEM_ADMIN,0793776701,c.guthiaik,c.guthiaik@gmail.com,test
CRVS_OFFICE_PkanHXAzgUG,Elwuaat,Tsrresfy,EMBASSY_OFFICIAL,0962624605,e.tsrresfy,e.tsrresfy@gmail.com,test
HEALTH_FACILITY_p2xjvTJQENp,Yuzyj,Gquinooc,COMMUNITY_LEADER,0753188520,y.gquinooc,y.gquinooc@gmail.com,test
HEALTH_FACILITY_nIvJbqFxfMZ,Ooserl,Aastillori,LOCAL_REGISTRAR,0792974670,o.aastillori,o.aastillori@gmail.com,test
HEALTH_FACILITY_W3YNl4K7g7o,Elenhom,Castilwohg,REGISTRATION_AGENT,0773766567,e.castilwohg,e.castilwohg@gmail.com,test
HEALTH_FACILITY_uX8S4uouRbh,Digueloc,Uorrqseq,PERFORMANCE_MANAGER,0749873052,d.uorrqseq,d.uorrqseq@gmail.com,test
CRVS_OFFICE_iPxWLDdnm0J,Miguqlzx,Gartijqa,HOSPITAL_CLERK,0913769277,m.gartijqa,m.gartijqa@gmail.com,test
HEALTH_FACILITY_1MPJID03oAJ,Vaanmc,Tortesmj,NATIONAL_REGISTRAR,0707144798,v.tortesmj,v.tortesmj@gmail.com,test
CRVS_OFFICE_zd3wCgLjvbt,Ceilrsbx,Saptoswj,EMBASSY_OFFICIAL,0778487818,c.saptoswj,c.saptoswj@gmail.com,test
CRVS_OFFICE_tJjkAPweCHj,Hoskjg,Ccsmallouv,PROVINCIAL_REGISTRAR,0953984907,h.ccsmallouv,h.ccsmallouv@gmail.com,test
CRVS_OFFICE_GKbOnUuOWWs,Lzzcg,Dargianp,PERFORMANCE_MANAGER,0705307380,l.dargianp,l.dargianp@gmail.com,test
HEALTH_FACILITY_ylgmzsmrAtE,Uxsach,Saotosea,PERFORMANCE_MANAGER,0986662920,u.saotosea,u.saotosea@gmail.com,test
HEALTH_FACILITY_MU2ED6clr7l,Wparm,Rarosen,NATIONAL_REGISTRAR,0998422288,w.rarosen,w.rarosen@gmail.com,test
CRVS_OFFICE_3cjZt5Asq3P,Soshee,Aquinndv,REGISTRATION_AGENT,0968751255,s.aquinndv,s.aquinndv@gmail.com,test
CRVS_OFFICE_cHJd6nRPpLc,Uoskrl,Mvndozaau,EMBASSY_OFFICIAL,0708838395,u.mvndozaau,u.mvndozaau@gmail.com,test
HEALTH_FACILITY_51uRiOGJJPF,Dosagp,Cruero,REGISTRATION_AGENT,0968418803,d.cruero,d.cruero@gmail.com,test
HEALTH_FACILITY_ODYKdMeyLBU,Josely,Gkrciaed,EMBASSY_OFFICIAL,0706334164,j.gkrciaed,j.gkrciaed@gmail.com,test
HEALTH_FACILITY_ohSe0abR6NU,Joseji,Sanajsuw,PROVINCIAL_REGISTRAR,0720808544,j.sanajsuw,j.sanajsuw@gmail.com,test
CRVS_OFFICE_9w0uhgHSkbX,Pedrcvr,Floteskk,HOSPITAL_CLERK,0951420507,p.floteskk,p.floteskk@gmail.com,test
CRVS_OFFICE_FxsyIWuD0Eu,Royaor,Menduzldd,PERFORMANCE_MANAGER,0792828999,r.menduzldd,r.menduzldd@gmail.com,test
CRVS_OFFICE_o9E8Jb2eR7e,Migmelqe,Mendozenr,COMMUNITY_LEADER,0751284821,m.mendozenr,m.mendozenr@gmail.com,test
HEALTH_FACILITY_iHZuUkOwhuE,Muzrx,Flolikxp,COMMUNITY_LEADER,0716213515,m.flolikxp,m.flolikxp@gmail.com,test
